,cibil_score,loan_amount,loan_id,commercial_assets_value,loan_term,bank_asset_value,residential_assets_value,income_annum,no_of_dependents,self_employed
326,459.0,175.0,2004.0,30.0,5.0,32.0,61.0,61.0,1.0,0.0
327,73.0,144.0,1427.0,62.0,3.0,42.0,31.0,38.0,3.0,1.0
328,257.0,332.0,1557.0,139.0,1.0,123.0,6.0,90.0,5.0,1.0
329,427.0,79.0,214.0,28.0,6.0,14.0,59.0,20.0,4.0,1.0
330,86.0,197.0,829.0,71.0,2.0,102.0,161.0,92.0,0.0,1.0
331,27.0,270.0,1681.0,168.0,0.0,79.0,1.0,95.0,5.0,1.0
332,579.0,312.0,1342.0,157.0,0.0,51.0,221.0,84.0,0.0,0.0
333,536.0,122.0,204.0,50.0,8.0,50.0,147.0,58.0,3.0,1.0
334,554.0,75.0,536.0,53.0,6.0,21.0,55.0,25.0,3.0,0.0
335,177.0,174.0,925.0,104.0,2.0,57.0,33.0,65.0,5.0,0.0
336,346.0,189.0,309.0,69.0,1.0,39.0,143.0,51.0,4.0,1.0
337,569.0,22.0,239.0,1.0,6.0,11.0,23.0,8.0,5.0,1.0
338,302.0,88.0,771.0,6.0,9.0,34.0,38.0,21.0,2.0,1.0
339,41.0,293.0,2041.0,49.0,3.0,122.0,198.0,86.0,0.0,1.0
340,73.0,194.0,883.0,107.0,9.0,55.0,148.0,58.0,5.0,0.0
341,213.0,282.0,1364.0,35.0,9.0,57.0,47.0,73.0,4.0,0.0
342,343.0,30.0,113.0,21.0,0.0,19.0,2.0,12.0,3.0,0.0
343,384.0,168.0,1962.0,61.0,1.0,60.0,43.0,67.0,3.0,0.0
344,297.0,117.0,865.0,18.0,5.0,31.0,50.0,35.0,5.0,1.0
345,159.0,11.0,1390.0,0.0,2.0,5.0,12.0,3.0,1.0,0.0
346,382.0,221.0,1830.0,51.0,6.0,109.0,213.0,86.0,2.0,0.0
347,562.0,282.0,1934.0,83.0,6.0,86.0,226.0,82.0,4.0,0.0
348,421.0,191.0,320.0,32.0,9.0,43.0,139.0,52.0,3.0,0.0
349,110.0,64.0,1347.0,8.0,3.0,23.0,77.0,25.0,2.0,0.0
350,205.0,119.0,1374.0,60.0,6.0,34.0,28.0,49.0,4.0,0.0
351,340.0,206.0,1802.0,107.0,6.0,82.0,41.0,54.0,3.0,1.0
352,278.0,4.0,1129.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0
353,54.0,144.0,420.0,88.0,0.0,55.0,72.0,46.0,1.0,1.0
354,8.0,185.0,683.0,102.0,9.0,48.0,146.0,89.0,3.0,1.0
355,484.0,62.0,1310.0,28.0,4.0,27.0,25.0,19.0,5.0,1.0
356,552.0,189.0,264.0,15.0,1.0,93.0,202.0,84.0,4.0,1.0
357,328.0,284.0,1275.0,12.0,2.0,48.0,114.0,88.0,4.0,1.0
358,117.0,253.0,1225.0,115.0,2.0,87.0,152.0,68.0,1.0,1.0
359,243.0,105.0,506.0,38.0,0.0,47.0,61.0,31.0,1.0,1.0
360,444.0,47.0,208.0,22.0,4.0,19.0,22.0,11.0,5.0,1.0
361,317.0,213.0,890.0,16.0,0.0,37.0,107.0,70.0,3.0,1.0
362,551.0,111.0,1504.0,11.0,9.0,32.0,39.0,37.0,4.0,0.0
363,257.0,236.0,1469.0,28.0,5.0,67.0,189.0,66.0,3.0,1.0
364,431.0,252.0,1338.0,62.0,8.0,49.0,214.0,95.0,1.0,1.0
365,580.0,235.0,678.0,45.0,7.0,64.0,38.0,74.0,4.0,1.0
366,469.0,231.0,589.0,31.0,8.0,58.0,166.0,87.0,4.0,1.0
367,475.0,41.0,1553.0,12.0,6.0,8.0,17.0,12.0,1.0,0.0
368,244.0,225.0,1445.0,87.0,0.0,95.0,151.0,70.0,1.0,0.0
369,416.0,206.0,1686.0,48.0,6.0,84.0,115.0,80.0,5.0,1.0
370,565.0,197.0,314.0,37.0,2.0,40.0,160.0,51.0,0.0,0.0
371,159.0,77.0,1474.0,30.0,3.0,30.0,41.0,23.0,4.0,1.0
372,386.0,113.0,526.0,94.0,7.0,65.0,15.0,46.0,1.0,1.0
373,238.0,142.0,569.0,30.0,3.0,34.0,60.0,37.0,0.0,0.0
374,9.0,88.0,605.0,14.0,1.0,34.0,65.0,24.0,5.0,0.0
375,312.0,203.0,1781.0,22.0,8.0,55.0,113.0,52.0,2.0,0.0
376,0.0,236.0,1489.0,116.0,2.0,70.0,163.0,62.0,4.0,1.0
377,566.0,53.0,1384.0,26.0,0.0,16.0,32.0,15.0,1.0,1.0
378,388.0,309.0,245.0,61.0,8.0,83.0,54.0,90.0,1.0,1.0
379,194.0,129.0,2016.0,98.0,4.0,29.0,48.0,51.0,2.0,0.0
380,359.0,287.0,445.0,129.0,2.0,117.0,100.0,90.0,1.0,1.0
381,195.0,4.0,78.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0
382,39.0,188.0,1328.0,59.0,2.0,63.0,58.0,59.0,1.0,0.0
383,154.0,208.0,1005.0,14.0,4.0,81.0,98.0,54.0,1.0,1.0
384,105.0,79.0,1547.0,38.0,8.0,31.0,30.0,29.0,4.0,1.0
385,10.0,129.0,728.0,46.0,9.0,42.0,119.0,46.0,2.0,1.0
386,352.0,188.0,29.0,105.0,7.0,117.0,2.0,93.0,1.0,1.0
387,265.0,150.0,225.0,99.0,6.0,84.0,12.0,59.0,4.0,1.0
388,198.0,8.0,898.0,4.0,7.0,4.0,3.0,2.0,3.0,0.0
389,366.0,52.0,1641.0,8.0,3.0,13.0,68.0,24.0,5.0,1.0
390,476.0,226.0,725.0,103.0,4.0,137.0,14.0,96.0,2.0,0.0
391,513.0,40.0,1133.0,8.0,8.0,9.0,8.0,9.0,0.0,0.0
392,239.0,65.0,1764.0,2.0,9.0,22.0,47.0,20.0,2.0,0.0
393,286.0,82.0,1608.0,64.0,9.0,45.0,45.0,34.0,5.0,1.0
394,456.0,193.0,1085.0,105.0,1.0,77.0,182.0,76.0,3.0,1.0
395,46.0,28.0,1192.0,22.0,7.0,17.0,13.0,10.0,4.0,1.0
396,470.0,94.0,195.0,0.0,6.0,22.0,26.0,31.0,4.0,0.0
397,325.0,282.0,194.0,38.0,6.0,108.0,60.0,71.0,2.0,0.0
398,184.0,140.0,1615.0,79.0,1.0,36.0,125.0,46.0,1.0,0.0
399,532.0,121.0,1186.0,90.0,2.0,76.0,52.0,56.0,5.0,1.0
400,59.0,233.0,446.0,53.0,0.0,75.0,240.0,84.0,0.0,1.0
401,50.0,153.0,110.0,53.0,2.0,100.0,131.0,67.0,2.0,1.0
402,426.0,178.0,1329.0,145.0,9.0,100.0,79.0,75.0,3.0,1.0
403,368.0,321.0,4.0,148.0,1.0,43.0,220.0,85.0,5.0,0.0
404,173.0,86.0,407.0,39.0,1.0,38.0,41.0,33.0,4.0,1.0
405,338.0,256.0,637.0,99.0,8.0,115.0,119.0,94.0,2.0,0.0
406,480.0,177.0,1237.0,94.0,0.0,53.0,54.0,72.0,5.0,0.0
407,216.0,120.0,1876.0,47.0,3.0,26.0,62.0,32.0,1.0,1.0
408,539.0,113.0,867.0,69.0,6.0,57.0,6.0,39.0,4.0,1.0
409,566.0,60.0,1132.0,22.0,7.0,29.0,40.0,19.0,1.0,0.0
410,196.0,194.0,64.0,56.0,3.0,98.0,74.0,69.0,5.0,0.0
411,574.0,189.0,1775.0,59.0,2.0,76.0,140.0,59.0,0.0,1.0
412,57.0,288.0,1535.0,61.0,4.0,42.0,69.0,75.0,3.0,1.0
413,474.0,164.0,76.0,59.0,0.0,61.0,3.0,44.0,2.0,0.0
414,200.0,134.0,1163.0,79.0,2.0,35.0,14.0,45.0,2.0,1.0
415,342.0,46.0,2053.0,21.0,5.0,18.0,26.0,19.0,5.0,1.0
416,340.0,188.0,995.0,102.0,5.0,45.0,95.0,55.0,1.0,0.0
417,486.0,15.0,408.0,7.0,3.0,8.0,11.0,4.0,1.0,1.0
418,355.0,11.0,1850.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0
419,228.0,267.0,1074.0,128.0,5.0,48.0,85.0,70.0,5.0,1.0
420,215.0,349.0,1013.0,53.0,6.0,130.0,106.0,90.0,0.0,0.0
421,550.0,186.0,830.0,60.0,1.0,59.0,103.0,46.0,2.0,0.0
422,568.0,47.0,481.0,17.0,3.0,15.0,15.0,21.0,2.0,0.0
423,66.0,257.0,1542.0,164.0,7.0,84.0,186.0,94.0,1.0,0.0
424,177.0,230.0,1868.0,36.0,9.0,68.0,158.0,72.0,5.0,1.0
425,537.0,19.0,1067.0,2.0,1.0,10.0,10.0,6.0,1.0,1.0
426,44.0,125.0,1471.0,11.0,7.0,38.0,34.0,41.0,3.0,1.0
427,302.0,261.0,715.0,0.0,6.0,53.0,144.0,68.0,0.0,1.0
428,101.0,341.0,1151.0,77.0,6.0,59.0,218.0,87.0,3.0,1.0
429,237.0,190.0,1031.0,28.0,8.0,64.0,65.0,54.0,0.0,0.0
430,129.0,193.0,729.0,99.0,0.0,30.0,148.0,51.0,3.0,1.0
431,185.0,241.0,1644.0,51.0,9.0,41.0,68.0,76.0,3.0,1.0
432,177.0,50.0,2033.0,42.0,7.0,26.0,56.0,22.0,0.0,0.0
433,173.0,294.0,1815.0,152.0,8.0,94.0,186.0,94.0,1.0,1.0
434,178.0,241.0,168.0,24.0,1.0,45.0,79.0,62.0,3.0,0.0
435,522.0,132.0,1056.0,77.0,9.0,25.0,57.0,44.0,1.0,1.0
436,93.0,94.0,301.0,82.0,0.0,43.0,8.0,40.0,3.0,1.0
437,411.0,150.0,1727.0,61.0,1.0,59.0,71.0,49.0,1.0,0.0
438,215.0,148.0,307.0,47.0,5.0,57.0,53.0,52.0,5.0,0.0
439,490.0,273.0,1334.0,16.0,3.0,118.0,80.0,78.0,1.0,1.0
440,129.0,199.0,160.0,42.0,1.0,124.0,161.0,86.0,0.0,0.0
441,443.0,128.0,439.0,33.0,8.0,72.0,83.0,47.0,2.0,1.0
442,266.0,206.0,1654.0,18.0,1.0,52.0,33.0,67.0,1.0,0.0
443,459.0,20.0,1610.0,9.0,4.0,11.0,10.0,6.0,1.0,0.0
444,50.0,142.0,2084.0,49.0,1.0,35.0,127.0,51.0,4.0,1.0
445,413.0,101.0,591.0,7.0,0.0,14.0,29.0,25.0,5.0,1.0
446,416.0,91.0,1942.0,81.0,1.0,55.0,101.0,40.0,4.0,0.0
447,92.0,124.0,1801.0,93.0,5.0,64.0,83.0,54.0,3.0,1.0
448,125.0,161.0,1408.0,109.0,2.0,89.0,125.0,62.0,1.0,0.0
449,75.0,304.0,1816.0,10.0,3.0,111.0,187.0,82.0,1.0,1.0
450,150.0,246.0,431.0,47.0,6.0,136.0,240.0,91.0,4.0,0.0
451,374.0,83.0,290.0,24.0,3.0,16.0,35.0,22.0,3.0,0.0
452,517.0,72.0,1948.0,12.0,2.0,25.0,78.0,25.0,0.0,0.0
453,1.0,24.0,824.0,16.0,8.0,15.0,29.0,9.0,4.0,1.0
454,289.0,183.0,635.0,32.0,4.0,116.0,167.0,83.0,4.0,1.0
455,432.0,96.0,100.0,13.0,3.0,17.0,50.0,26.0,0.0,0.0
456,405.0,286.0,40.0,119.0,4.0,119.0,62.0,81.0,3.0,0.0
457,561.0,15.0,1901.0,2.0,3.0,6.0,2.0,3.0,1.0,1.0
458,425.0,190.0,655.0,19.0,3.0,104.0,13.0,75.0,2.0,1.0
459,117.0,53.0,2028.0,6.0,8.0,21.0,14.0,21.0,3.0,0.0
460,374.0,80.0,377.0,35.0,2.0,23.0,56.0,22.0,1.0,1.0
461,569.0,128.0,847.0,43.0,9.0,62.0,110.0,64.0,2.0,0.0
462,200.0,292.0,1.0,45.0,9.0,127.0,72.0,89.0,3.0,0.0
463,423.0,26.0,1650.0,19.0,3.0,18.0,39.0,11.0,3.0,0.0
464,482.0,152.0,659.0,7.0,8.0,22.0,74.0,40.0,4.0,0.0
465,67.0,134.0,937.0,27.0,2.0,30.0,106.0,56.0,5.0,0.0
466,88.0,283.0,1584.0,79.0,3.0,72.0,198.0,72.0,3.0,0.0
467,474.0,149.0,1413.0,80.0,4.0,32.0,112.0,45.0,0.0,0.0
468,147.0,154.0,216.0,26.0,8.0,66.0,138.0,52.0,4.0,0.0
469,75.0,216.0,560.0,34.0,8.0,96.0,53.0,79.0,5.0,0.0
470,398.0,61.0,1213.0,2.0,2.0,35.0,70.0,23.0,2.0,1.0
471,528.0,288.0,2023.0,30.0,3.0,112.0,211.0,74.0,3.0,1.0
472,437.0,296.0,1386.0,129.0,0.0,103.0,203.0,87.0,4.0,0.0
473,122.0,52.0,75.0,8.0,5.0,9.0,7.0,14.0,3.0,0.0
474,222.0,22.0,1894.0,3.0,9.0,7.0,10.0,7.0,3.0,1.0
475,252.0,112.0,1257.0,0.0,8.0,26.0,76.0,45.0,0.0,0.0
476,218.0,49.0,548.0,29.0,7.0,16.0,4.0,14.0,2.0,0.0
477,236.0,43.0,720.0,12.0,3.0,20.0,16.0,12.0,3.0,1.0
478,461.0,200.0,2034.0,60.0,1.0,76.0,107.0,54.0,5.0,0.0
479,162.0,29.0,1289.0,4.0,3.0,8.0,10.0,6.0,0.0,1.0
480,445.0,113.0,1846.0,18.0,5.0,78.0,34.0,54.0,3.0,1.0
481,584.0,56.0,398.0,24.0,5.0,30.0,39.0,18.0,0.0,1.0
482,180.0,74.0,723.0,36.0,7.0,32.0,21.0,23.0,3.0,1.0
483,116.0,6.0,1794.0,0.0,9.0,3.0,9.0,1.0,1.0,1.0
484,373.0,33.0,336.0,7.0,4.0,4.0,15.0,7.0,0.0,1.0
485,266.0,123.0,633.0,62.0,7.0,36.0,35.0,44.0,0.0,0.0
486,570.0,102.0,91.0,5.0,5.0,23.0,41.0,36.0,3.0,1.0
487,461.0,17.0,1306.0,7.0,8.0,8.0,24.0,7.0,3.0,1.0
488,283.0,192.0,1813.0,47.0,1.0,79.0,133.0,51.0,3.0,1.0
489,160.0,93.0,993.0,7.0,3.0,20.0,62.0,31.0,0.0,1.0
490,403.0,2.0,2075.0,2.0,9.0,1.0,1.0,0.0,1.0,1.0
491,362.0,115.0,155.0,36.0,4.0,41.0,88.0,28.0,5.0,1.0
492,91.0,182.0,1111.0,57.0,1.0,111.0,97.0,80.0,5.0,0.0
493,43.0,93.0,757.0,19.0,2.0,26.0,20.0,23.0,5.0,1.0
494,524.0,110.0,1344.0,51.0,5.0,26.0,8.0,27.0,2.0,0.0
495,453.0,188.0,1841.0,89.0,0.0,40.0,223.0,80.0,0.0,1.0
496,143.0,303.0,1945.0,14.0,9.0,79.0,224.0,83.0,3.0,1.0
497,2.0,179.0,63.0,31.0,6.0,50.0,57.0,72.0,3.0,1.0
498,445.0,48.0,1824.0,2.0,2.0,34.0,16.0,22.0,5.0,0.0
499,254.0,142.0,385.0,62.0,6.0,58.0,24.0,44.0,5.0,1.0
500,118.0,117.0,572.0,27.0,9.0,34.0,94.0,42.0,2.0,0.0
501,264.0,125.0,1878.0,22.0,9.0,61.0,87.0,41.0,0.0,1.0
502,402.0,95.0,744.0,2.0,8.0,64.0,55.0,42.0,2.0,0.0
503,406.0,209.0,1916.0,92.0,3.0,79.0,55.0,87.0,1.0,1.0
504,423.0,204.0,415.0,120.0,4.0,99.0,157.0,70.0,0.0,1.0
505,474.0,123.0,1267.0,25.0,8.0,66.0,4.0,52.0,4.0,0.0
506,159.0,65.0,1652.0,13.0,3.0,19.0,20.0,22.0,5.0,1.0
507,524.0,100.0,1991.0,54.0,5.0,75.0,135.0,49.0,3.0,1.0
508,555.0,91.0,1592.0,3.0,0.0,35.0,38.0,22.0,4.0,1.0
509,524.0,198.0,1184.0,6.0,6.0,75.0,20.0,66.0,5.0,0.0
510,126.0,149.0,1028.0,73.0,4.0,33.0,58.0,47.0,1.0,1.0
511,191.0,149.0,1785.0,69.0,8.0,93.0,16.0,64.0,0.0,0.0
512,574.0,283.0,257.0,59.0,3.0,72.0,225.0,84.0,2.0,1.0
513,135.0,140.0,681.0,56.0,6.0,51.0,104.0,47.0,3.0,1.0
514,286.0,1.0,421.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0
515,413.0,26.0,1002.0,0.0,2.0,16.0,39.0,12.0,4.0,1.0
516,539.0,233.0,1322.0,33.0,6.0,75.0,31.0,65.0,5.0,1.0
517,114.0,119.0,0.0,22.0,3.0,33.0,28.0,39.0,0.0,1.0
518,238.0,131.0,787.0,82.0,7.0,35.0,99.0,40.0,5.0,0.0
519,108.0,4.0,461.0,0.0,1.0,1.0,7.0,1.0,2.0,1.0
520,44.0,223.0,2086.0,129.0,7.0,128.0,227.0,95.0,5.0,1.0
521,262.0,46.0,804.0,3.0,6.0,13.0,39.0,18.0,0.0,1.0
522,178.0,87.0,1276.0,4.0,2.0,36.0,94.0,35.0,3.0,0.0
523,449.0,306.0,2003.0,18.0,7.0,48.0,5.0,85.0,3.0,0.0
524,151.0,332.0,959.0,113.0,0.0,57.0,123.0,90.0,2.0,0.0
525,174.0,120.0,1078.0,60.0,7.0,47.0,98.0,33.0,0.0,0.0
526,208.0,262.0,788.0,149.0,2.0,40.0,63.0,74.0,0.0,0.0
527,271.0,2.0,1021.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0
528,185.0,225.0,1371.0,100.0,3.0,64.0,62.0,64.0,2.0,1.0
529,6.0,250.0,1574.0,73.0,1.0,66.0,218.0,78.0,3.0,1.0
530,341.0,149.0,218.0,57.0,7.0,41.0,14.0,50.0,3.0,1.0
531,402.0,233.0,740.0,113.0,3.0,111.0,5.0,86.0,0.0,1.0
532,216.0,11.0,1244.0,11.0,4.0,9.0,8.0,5.0,1.0,1.0
533,362.0,276.0,1848.0,92.0,5.0,95.0,57.0,79.0,4.0,0.0
534,386.0,276.0,16.0,106.0,5.0,72.0,116.0,80.0,4.0,0.0
535,353.0,13.0,10.0,1.0,1.0,7.0,14.0,3.0,2.0,1.0
536,346.0,7.0,277.0,1.0,9.0,4.0,1.0,1.0,4.0,1.0
537,143.0,123.0,1676.0,25.0,4.0,36.0,13.0,33.0,0.0,1.0
538,342.0,46.0,149.0,28.0,5.0,8.0,17.0,13.0,0.0,0.0
539,327.0,122.0,1984.0,64.0,0.0,50.0,143.0,47.0,1.0,0.0
540,353.0,275.0,1144.0,113.0,3.0,55.0,89.0,79.0,4.0,0.0
541,125.0,192.0,418.0,72.0,8.0,65.0,160.0,61.0,2.0,1.0
542,521.0,39.0,1218.0,19.0,2.0,20.0,14.0,16.0,0.0,0.0
543,572.0,71.0,464.0,16.0,8.0,32.0,28.0,22.0,4.0,1.0
544,386.0,256.0,1699.0,122.0,3.0,71.0,145.0,81.0,3.0,1.0
545,204.0,177.0,1976.0,66.0,2.0,76.0,135.0,49.0,3.0,1.0
546,542.0,108.0,1406.0,74.0,7.0,47.0,114.0,36.0,4.0,1.0
547,393.0,281.0,1179.0,124.0,0.0,105.0,6.0,76.0,4.0,0.0
548,270.0,208.0,1598.0,62.0,9.0,56.0,60.0,89.0,0.0,0.0
549,452.0,32.0,1168.0,3.0,2.0,6.0,24.0,7.0,2.0,1.0
550,427.0,63.0,600.0,20.0,4.0,15.0,51.0,16.0,0.0,0.0
551,472.0,120.0,39.0,69.0,8.0,28.0,77.0,37.0,4.0,1.0
552,132.0,153.0,448.0,28.0,5.0,32.0,105.0,38.0,1.0,1.0
553,525.0,274.0,651.0,35.0,8.0,92.0,127.0,81.0,2.0,1.0
554,132.0,131.0,846.0,12.0,4.0,75.0,37.0,65.0,4.0,0.0
555,569.0,209.0,1856.0,162.0,1.0,108.0,181.0,96.0,1.0,1.0
556,280.0,242.0,1843.0,13.0,2.0,104.0,111.0,82.0,2.0,0.0
557,327.0,296.0,1731.0,51.0,7.0,72.0,53.0,81.0,2.0,1.0
558,58.0,186.0,223.0,11.0,5.0,85.0,108.0,69.0,5.0,0.0
559,224.0,90.0,1464.0,10.0,6.0,19.0,84.0,35.0,0.0,1.0
560,541.0,106.0,875.0,51.0,5.0,33.0,136.0,44.0,3.0,1.0
561,447.0,109.0,927.0,65.0,0.0,38.0,54.0,40.0,5.0,1.0
562,184.0,208.0,52.0,43.0,8.0,60.0,6.0,55.0,4.0,0.0
563,505.0,95.0,2083.0,52.0,5.0,44.0,65.0,29.0,3.0,0.0
564,53.0,28.0,1280.0,1.0,1.0,5.0,18.0,7.0,0.0,1.0
565,49.0,168.0,685.0,72.0,6.0,71.0,190.0,76.0,2.0,0.0
566,223.0,193.0,1018.0,36.0,8.0,123.0,171.0,82.0,0.0,0.0
567,29.0,313.0,1990.0,112.0,0.0,80.0,72.0,91.0,0.0,0.0
568,479.0,107.0,1513.0,47.0,3.0,30.0,6.0,38.0,4.0,1.0
569,494.0,159.0,1978.0,47.0,4.0,86.0,141.0,63.0,2.0,0.0
570,188.0,170.0,1678.0,45.0,7.0,93.0,9.0,76.0,5.0,1.0
571,575.0,351.0,680.0,164.0,9.0,89.0,140.0,92.0,5.0,0.0
572,85.0,167.0,949.0,21.0,7.0,32.0,118.0,61.0,3.0,0.0
573,214.0,14.0,1172.0,10.0,6.0,6.0,1.0,4.0,3.0,1.0
574,233.0,70.0,935.0,3.0,1.0,22.0,26.0,22.0,4.0,0.0
575,418.0,69.0,1038.0,20.0,2.0,46.0,49.0,30.0,3.0,1.0
576,477.0,8.0,140.0,1.0,3.0,4.0,5.0,1.0,0.0,1.0
577,237.0,103.0,975.0,31.0,9.0,49.0,42.0,37.0,4.0,0.0
578,379.0,73.0,31.0,1.0,1.0,34.0,88.0,36.0,5.0,0.0
579,282.0,20.0,1520.0,15.0,7.0,9.0,13.0,7.0,5.0,0.0
580,381.0,197.0,841.0,87.0,8.0,112.0,51.0,74.0,4.0,1.0
581,206.0,169.0,721.0,70.0,1.0,30.0,44.0,55.0,1.0,0.0
582,173.0,108.0,907.0,29.0,9.0,30.0,43.0,27.0,1.0,0.0
583,94.0,135.0,1062.0,6.0,6.0,30.0,125.0,57.0,5.0,0.0
584,327.0,258.0,574.0,159.0,6.0,116.0,48.0,91.0,3.0,1.0
585,548.0,112.0,1559.0,50.0,9.0,41.0,88.0,30.0,4.0,1.0
586,272.0,63.0,641.0,41.0,9.0,21.0,39.0,19.0,2.0,0.0
587,383.0,98.0,41.0,17.0,9.0,14.0,3.0,25.0,0.0,1.0
588,107.0,191.0,901.0,62.0,4.0,45.0,117.0,48.0,1.0,1.0
589,300.0,287.0,313.0,52.0,3.0,117.0,109.0,87.0,2.0,0.0
590,257.0,295.0,1943.0,39.0,7.0,90.0,13.0,92.0,2.0,1.0
591,83.0,2.0,1493.0,2.0,2.0,1.0,9.0,1.0,3.0,1.0
592,53.0,137.0,546.0,16.0,0.0,29.0,88.0,33.0,2.0,0.0
593,532.0,83.0,1401.0,27.0,1.0,24.0,103.0,38.0,2.0,1.0
594,256.0,82.0,77.0,31.0,5.0,18.0,11.0,27.0,3.0,1.0
595,533.0,172.0,1896.0,82.0,1.0,51.0,240.0,86.0,0.0,0.0
596,121.0,95.0,689.0,32.0,7.0,13.0,48.0,23.0,3.0,1.0
597,317.0,15.0,786.0,6.0,9.0,3.0,6.0,5.0,4.0,1.0
598,198.0,146.0,1385.0,21.0,2.0,32.0,107.0,51.0,2.0,1.0
599,272.0,121.0,1478.0,9.0,3.0,73.0,9.0,53.0,3.0,0.0
600,268.0,27.0,1230.0,13.0,6.0,4.0,13.0,6.0,3.0,0.0
601,41.0,301.0,1788.0,115.0,4.0,70.0,99.0,80.0,2.0,0.0
602,546.0,9.0,74.0,6.0,5.0,2.0,3.0,2.0,3.0,0.0
603,44.0,73.0,836.0,46.0,9.0,44.0,8.0,29.0,1.0,0.0
604,540.0,224.0,1243.0,63.0,8.0,40.0,135.0,57.0,0.0,1.0
605,377.0,51.0,1571.0,4.0,8.0,17.0,3.0,13.0,3.0,0.0
606,580.0,93.0,1496.0,9.0,8.0,49.0,100.0,31.0,2.0,1.0
607,275.0,87.0,1766.0,13.0,2.0,34.0,37.0,21.0,2.0,1.0
608,401.0,314.0,825.0,12.0,7.0,52.0,44.0,87.0,1.0,1.0
609,148.0,25.0,1791.0,3.0,5.0,6.0,16.0,6.0,4.0,0.0
610,518.0,239.0,472.0,41.0,3.0,91.0,138.0,68.0,2.0,0.0
611,459.0,32.0,130.0,0.0,1.0,6.0,8.0,7.0,3.0,1.0
612,146.0,139.0,1927.0,76.0,2.0,56.0,62.0,49.0,1.0,0.0
613,346.0,251.0,743.0,88.0,7.0,72.0,215.0,88.0,1.0,1.0
614,504.0,140.0,638.0,117.0,9.0,43.0,76.0,60.0,1.0,0.0
615,176.0,165.0,169.0,114.0,3.0,33.0,70.0,57.0,4.0,0.0
616,143.0,2.0,525.0,1.0,6.0,1.0,8.0,1.0,4.0,1.0
617,320.0,268.0,1473.0,143.0,3.0,50.0,46.0,91.0,0.0,0.0
618,1.0,91.0,1534.0,28.0,5.0,50.0,79.0,36.0,3.0,1.0
619,346.0,285.0,211.0,68.0,5.0,49.0,80.0,91.0,2.0,1.0
620,448.0,11.0,2000.0,5.0,2.0,7.0,11.0,5.0,1.0,0.0
621,489.0,145.0,337.0,33.0,6.0,66.0,114.0,66.0,2.0,0.0
622,36.0,271.0,229.0,5.0,8.0,66.0,211.0,91.0,4.0,1.0
623,231.0,183.0,755.0,27.0,0.0,40.0,78.0,52.0,5.0,0.0
624,208.0,181.0,450.0,44.0,4.0,41.0,69.0,53.0,2.0,1.0
625,54.0,210.0,813.0,123.0,0.0,141.0,224.0,96.0,1.0,0.0
626,477.0,38.0,676.0,16.0,5.0,13.0,37.0,13.0,0.0,1.0
627,558.0,71.0,724.0,12.0,4.0,33.0,5.0,27.0,1.0,0.0
628,47.0,138.0,200.0,13.0,0.0,62.0,34.0,42.0,0.0,0.0
629,7.0,214.0,1855.0,27.0,7.0,97.0,240.0,93.0,5.0,1.0
630,542.0,204.0,1732.0,137.0,7.0,88.0,172.0,67.0,0.0,0.0
631,402.0,273.0,1789.0,67.0,3.0,58.0,10.0,88.0,0.0,1.0
632,450.0,50.0,969.0,5.0,9.0,12.0,26.0,15.0,2.0,0.0
633,250.0,233.0,1281.0,86.0,8.0,91.0,184.0,97.0,3.0,0.0
634,287.0,266.0,1357.0,52.0,9.0,104.0,46.0,78.0,5.0,0.0
635,399.0,97.0,737.0,18.0,6.0,50.0,54.0,33.0,0.0,1.0
636,378.0,272.0,368.0,161.0,9.0,112.0,49.0,90.0,3.0,1.0
637,373.0,258.0,1786.0,104.0,0.0,57.0,67.0,83.0,3.0,1.0
638,207.0,63.0,460.0,9.0,8.0,16.0,47.0,21.0,1.0,0.0
639,492.0,313.0,863.0,18.0,7.0,54.0,197.0,78.0,2.0,0.0
640,153.0,22.0,361.0,1.0,7.0,11.0,0.0,7.0,2.0,1.0
641,297.0,168.0,1806.0,141.0,7.0,104.0,191.0,77.0,2.0,1.0
642,64.0,106.0,719.0,5.0,9.0,48.0,38.0,52.0,0.0,1.0
643,565.0,252.0,709.0,141.0,5.0,89.0,240.0,93.0,3.0,1.0
644,275.0,22.0,1059.0,8.0,1.0,11.0,14.0,7.0,4.0,1.0
645,336.0,173.0,831.0,31.0,7.0,86.0,131.0,57.0,0.0,0.0
646,494.0,54.0,220.0,19.0,1.0,24.0,13.0,16.0,2.0,1.0
647,227.0,345.0,1877.0,168.0,3.0,54.0,236.0,94.0,1.0,1.0
648,257.0,169.0,553.0,13.0,5.0,63.0,36.0,50.0,2.0,0.0
649,522.0,337.0,1975.0,8.0,2.0,85.0,240.0,91.0,4.0,0.0
650,143.0,52.0,1239.0,3.0,2.0,13.0,30.0,16.0,2.0,1.0
651,580.0,86.0,1203.0,48.0,2.0,42.0,43.0,32.0,3.0,0.0
652,547.0,122.0,1249.0,15.0,6.0,68.0,114.0,59.0,4.0,1.0
